[-43790.586],"{'qw': 2.0, 'ab': 0.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[494646.34     6209.4136]
[-44855.965],"{'qw': 1.0, 'ab': 5.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[377673.94     5144.0347]
[-45197.83],"{'qw': 6.0, 'ab': 7.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[344730.62     4802.1724]
[-43122.137],"{'qw': 4.0, 'ab': 6.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[556481.25     6877.8623]
[-47485.207],"{'qw': 6.0, 'ab': 3.0, 'wa': 0.0, 'ic': 1.0, 'ps': 0.0}",[168826.2      2514.7932]
[-44501.37],"{'qw': 6.0, 'ab': 2.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[407752.78     5498.6304]
[-43309.45],"{'qw': 1.0, 'ab': 6.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[530292.1     6690.552]
[-43252.758],"{'qw': 5.0, 'ab': 0.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[535185.25    6747.241]
[-43272.38],"{'qw': 1.0, 'ab': 3.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[530672.7      6727.6206]
[-43650.83],"{'qw': 2.0, 'ab': 7.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[502637.38     6349.1724]
[-43952.1],"{'qw': 3.0, 'ab': 2.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[480279.3      6047.8965]
[-45607.277],"{'qw': 6.0, 'ab': 5.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[301122.34    4392.724]
[-44799.62],"{'qw': 5.0, 'ab': 1.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[391492.12     5200.3794]
[-43183.656],"{'qw': 5.0, 'ab': 0.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[550724.7      6816.3447]
[-47098.93],"{'qw': 1.0, 'ab': 0.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[212578.34     2901.0688]
[-44838.688],"{'qw': 1.0, 'ab': 6.0, 'wa': 1.0, 'ic': 1.0, 'ps': 0.0}",[363611.88     5161.3105]
[-43189.38],"{'qw': 4.0, 'ab': 5.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[542391.2      6810.6206]
[-43161.516],"{'qw': 6.0, 'ab': 5.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[543076.      6838.483]
[-43359.207],"{'qw': 2.0, 'ab': 2.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[527207.2     6640.793]
[-43888.723],"{'qw': 4.0, 'ab': 7.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[489668.8     6111.276]
[-44955.07],"{'qw': 1.0, 'ab': 7.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[364218.75    5044.931]
[-45144.414],"{'qw': 5.0, 'ab': 0.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[349208.4      4855.5864]
[-43836.516],"{'qw': 6.0, 'ab': 2.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[490611.72    6163.483]
[-43223.344],"{'qw': 3.0, 'ab': 7.0, 'wa': 0.0, 'ic': 2.0, 'ps': 0.0}",[547495.2      6776.6553]
[-46101.69],"{'qw': 3.0, 'ab': 0.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[295493.53     3898.3103]
[-45088.586],"{'qw': 2.0, 'ab': 5.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[353362.9      4911.4136]
[-43302.137],"{'qw': 4.0, 'ab': 7.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[531526.5      6697.8623]
[-43277.1],"{'qw': 4.0, 'ab': 1.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[532568.       6722.8965]
[-43217.38],"{'qw': 1.0, 'ab': 4.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[533345.8      6782.6206]
[-43630.207],"{'qw': 3.0, 'ab': 2.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[500572.8     6369.793]
